Timestamp,What is your age?,What gender do you identify with?,Are you currently employed?,What's your income?,How many hours on average per day do you spend browsing products online?,What category of products do you typically purchase? ,(Optional) Do you shop more online or in-person? Or browse online first before shopping in-person?,Which e-commerce websites do you mostly browse and shop on? ,Walmart_General,Ebay_General,AliExpress_General,Amazon_General,Walmart_Item,Ebay_Item,AliExpress_Item,Amazon_Item,Which interface did/would you rank the highest?,What specifically did you like about this shopping interface? Were there any features that were particularly helpful to use? Is there anything you wish was different about this shopping interface?,Like_Keyword,Which interface did/would you rank the lowest?,What specifically did you dislike about this shopping interface? Were there any features that were particularly difficult to use? Is there anything you wish was different about this shopping interface?,Dislike_Keyword,"Would you prefer a presentation style on websites that is image-focused,or a more technical details view where you can see specifications and other details? Why would you prefer the style over the other? ","When conducting a general search,do you find the categories that can be filtered (like on the side) useful? Or do you prefer searching for a specific keyword instead?","If you prefer categorical filtering,what categories do you find most useful? (e.g. price filtering,color filtering,etc.) "
3/15/2023 10:22,22,Man,No,N/A,0-1,Electronics and gadgets,,I don’t really shop,1,2,2,4,4,4,4,4,Amazon,"Very clear,easy to find things","clean,easy-to-use",Walmart,I’ve used it before and their search never works,nonfamiliarity,Depends on what product I’m looking for,,
3/15/2023 10:22,20,Woman,No,N/A,0-1,"Clothing and accessories,Books and entertainment",I shop online,Amazon,6,7,6,7,7,6,5,7,Amazon,"They're all really similar,I picked it because I'm most familiar with it.",familiarity,Ali-Express,Not sure,n/a,,,
3/15/2023 10:26,20,Man,No,"$10,000/yr",0-1,"Clothing and accessories,Electronics and gadgets,Food and beverages,Health and personal care products,Beauty and skincare products",I shop online,Amazon,9,4,5,6,10,4,4,6,Walmart,"There is less clutter. It’s easier to understand where I’m supposed to be looking. On the other websites,there’s too much information and I’m not sure where I am supposed to find what I’m looking for. ",clutter-free,Ebay,eBay feels the ugliest and most cluttered. There is a lot of clutter and useless information. Why do I care what cards they accept? Shouldn’t they accept all of them? It feels like misappropriated space. ,"cluttered,unpleasing","Grid view is better because when I’m looking for products,I care more about how it looks than the details. Images are easier to scan and quickly process than a bunch of text boxes. If I want to know more,I can just click the image on the grid to get the same information the list is giving me. ","The filters feel like a better sorting method. Sometimes I Amy not know what I want to sort by,but the filter bar gives me options. It is annoying though when I don’t see the filter I know I want. Also,I just don’t trust keywords to filter as well. ","Depends on product. In general,price. If I’m looking on Walmart or Target’s website,I like knowing about local availability. If I’m looking for a computer,I care about ram,processor,storage,OS,brand,and things like that. "
3/15/2023 10:22,22,Woman,Yes,$1000 / yr (RA stipend),0-1,"Clothing and accessories,Electronics and gadgets,Home appliances and furniture,Health and personal care products",I shop online,Amazon,7,5,2,8,9,8,8,7,Amazon,"the stars,price is big,pretty easy to filter ",filtering,Ali-Express,it was very cluttered ,cluttered,i prefer a product view because i usually know what i already want looks like. but i do find the technical details vital as well ,"i find it to be helpful,but i’m usually specific ",price (low to high) 
3/15/2023 10:54,21,Woman,Yes,$10/hr,0-1,"Clothing and accessories,Electronics and gadgets,Food and beverages,Health and personal care products,Beauty and skincare products,Books and entertainment",I shop online,Amazon,7,6,5,7,9,7,8,8,Walmart,the interface was really simple. it gave you just enough information without giving you too much information. i wish the search was a bit more intuitive and personalised (kinda like amazon),clean,Ebay,there's just too much on screen; it's trying to tell you too much all at once. very little space in between items. everything looks congested.,"information-overload,cluttered",Grid view,"Yep,Finding categories that can be filtered on the side. ","price,color,type,size. usually,most filtering categories are useful."
3/15/2023 10:19,CS,Man,No,N/A,0-1,"Electronics and gadgets,Toys and games","I browse online first,then go shop in-person.",Amazon,7,8,7,9,8,6,9,9,Amazon,Sleek with easy info access,clean,Ebay,n/a,n/a,Grid because if i am interested I can click for details then,keywords first then filters,star rating
3/15/2023 10:21,28,Man,No,N/A,0-1,"Electronics and gadgets,Food and beverages,Books and entertainment",I shop online,Amazon,8,7,7,6,9,6,5,7,Walmart,"Simple,clean,had all the relevant info ","clean,relevant",Ebay,Cluttered and distracting,"cluttered,information-overload",List view,Yes. They can help get a general idea of that categories products,Price
3/15/2023 10:18,22,Man,No,0,2-Jan,"Clothing and accessories,Electronics and gadgets",I shop online,Amazon,8,4,3,8,8,5,3,9,Amazon,Simple and understandable UI,easy-to-use,Ali-Express,Doing too much,information-overload,Grid View,Filtering,Price and Color
3/15/2023 10:20,21,Man,No,N/A,0-1,"Electronics and gadgets,Books and entertainment","I browse online first,then go shop in-person.",Amazon,3,8,5,6,7,7,5,5,Ebay,Shows relevant information without much extra information ,relevant,Walmart,Too busy,information-overload,List view,Categories are useful,"Price,manufacturer"
3/15/2023 10:16,22,Man,No,N/A,2-Jan,"Clothing and accessories,Books and entertainment","I browse online first,then go shop in-person.",Amazon,6,4,1,7,7,4,3,8,Amazon,"showed all options,very little clutter",clutter-free,Ebay,too much going on,information-overload,grid,,
